sqft_living,bedrooms,bathrooms,floors,waterfront,condition,yr_built,yr_renovated,price
1410,3,1,1,0,4,1956,0,410000
3450,4,2.5,2,0,3,2002,0,720000
2350,3,2.5,2,0,3,2003,0,390000
1900,4,2.5,2,0,3,1992,0,360000
2020,2,1,1,0,3,1948,0,355000
1680,3,1.5,1,0,3,1964,0,356000
960,3,1,1,0,3,1952,0,315000
2140,3,1.5,2,0,3,1925,0,940000
2660,5,2.25,1.5,0,5,1961,0,305000
2770,3,3.25,2,0,3,2006,0,461000
1610,2,2.25,2,0,4,1979,0,215000
1030,2,1.75,2,0,3,2006,0,335000
1980,4,2.5,2,0,3,1988,0,243500
3520,5,2.75,2,0,4,2001,0,1099880
1200,3,1,1,0,3,1962,0,153000
1580,3,1.5,1,0,3,1939,0,430000
1580,3,1.5,1,0,3,1939,0,700000
3300,4,2.5,1,0,3,1946,1991,905000
1960,3,1.75,1,0,3,1967,0,247500
1160,4,1.5,1,0,4,1975,0,199000
1810,3,1.75,1,0,5,1980,0,314000
2320,3,2.5,2,0,3,1992,0,437500
2070,3,2.5,1.5,0,5,1910,0,850830
1980,3,2,1.5,0,4,1929,0,555000
2190,3,2.25,2,0,4,1983,0,699950
2920,3,2.5,2,0,3,1950,2010,1088000
1210,3,1,1,0,3,1954,0,290000
2340,3,2.5,1,0,4,1978,0,375000
1670,3,1,1.5,0,4,1939,0,460000
1240,2,1.75,1,0,4,1985,0,188500
3140,4,2.5,2,0,4,1991,0,680000
2030,5,1.75,2,0,4,1942,0,470000
2310,4,2.5,2,0,3,1984,0,597750
1260,3,1.75,1,0,5,1905,0,570000
1540,3,1.75,1,0,4,1980,0,272500
2080,3,1.75,1,0,3,1971,0,329950
3230,4,2.5,2,0,3,2001,0,480000
4380,3,3.5,2,0,3,1900,1999,740500
1590,3,3.5,3,0,3,2010,0,518500
880,2,1,1,0,4,1945,0,205425
1570,4,2,1,0,3,1950,0,171800
1610,4,1,1.5,0,4,1925,0,535000
2400,3,2.5,1,0,3,1964,0,660000
1450,3,2,1,0,3,1987,0,391500
770,2,1,1,0,3,1953,0,395000
2100,4,1.75,1.5,0,5,1924,0,445000
2910,3,2.25,2,0,3,1990,0,770000
2750,4,2.75,1.5,0,3,1914,1992,1450000
2100,3,2.25,1,0,3,1967,0,445000
2160,4,2.25,1,0,3,1978,0,260000
2320,5,3.5,2,0,5,1926,0,822500
2070,4,2.5,2,0,3,2004,0,430000
1060,3,1.75,1,0,4,1986,0,212000
2010,4,2.25,1,0,3,1986,0,660500
3950,3,3.5,1.5,0,3,1989,0,784000
2010,3,2.5,2,0,3,2014,0,453246
2140,4,3.5,3,0,3,2005,0,675000
1320,3,1.75,1,0,4,1956,0,199000
2020,4,1.75,1,0,3,1968,0,220000
2590,4,2.25,1,0,4,1968,0,452000
1190,2,1,1,0,3,1981,0,382500
1170,3,2.25,3,0,3,2014,0,519950
1110,2,1,1,0,3,1925,0,665000
2820,5,2.5,1,0,4,1968,0,527700
1610,3,1,1,0,4,1962,0,205000
1060,3,1,1,0,4,1923,0,420000
2030,4,2.25,1,0,4,1961,0,500000
3670,4,2.5,2,0,4,1994,0,921500
2550,4,1,2,0,3,1905,0,890000
2420,2,2.5,2,0,3,2007,0,430000
2260,5,2,1,0,4,1960,0,258000
1430,3,1,1,0,3,1947,0,511000
1360,3,2,2,0,3,1990,0,532170
1110,3,1,1.5,0,3,1947,0,560000
1250,3,1,1,0,4,1954,0,282950
5180,4,3.25,2,0,3,2006,0,2250000
700,1,1,1,0,3,1942,0,350000
1180,3,1,1,0,4,1967,0,215000
3960,5,3.5,2,0,3,1996,0,650000
2640,4,2.75,1,0,3,1967,0,320000
1270,3,2,1.5,0,3,1916,2013,247000
1760,4,1.75,1,0,4,1968,0,320000
2060,5,2.25,1,0,3,1962,0,255000
1780,3,1.75,1,0,3,1962,0,438000
3400,3,2.5,2,0,3,2000,0,900000
1910,3,2.75,1,0,3,1979,0,441000
2020,3,2,1,0,4,1975,0,420000
1580,3,1.75,1,0,3,1976,0,370000
1340,2,1.75,1,0,5,1949,0,269950
2680,4,2.5,2,0,3,1999,0,807100
2680,3,2.5,1,0,4,1979,0,653000
1370,3,2,1,0,5,1964,0,371500
1560,3,1.75,1,0,3,1954,0,284000
2160,3,1.75,1,0,4,1978,0,272000
1340,3,1.5,1.5,0,3,1955,0,313000
3880,4,2.5,2,0,3,1984,0,917500
2590,4,2.25,2,0,4,1980,0,673000
1120,3,2.5,2,0,3,2008,0,425000
1970,5,2.75,1,0,3,1986,0,399950
1220,3,1,1,0,3,1901,0,385000
1950,3,1.5,1,0,4,1975,0,269950
1350,2,1,1,0,3,1949,0,330000
1670,3,2.5,2,0,3,1988,0,260000
2380,4,3,1.5,0,4,1925,0,470000
2440,4,3,2,0,5,1961,0,589000
1050,2,1.5,2,0,3,1996,0,163500
3130,4,2.75,2,0,3,1993,0,835000
4090,5,3,1,0,4,1986,0,1095000
1490,4,1.75,1,0,4,1969,0,269000
1900,3,2.5,2,0,3,1987,0,560000
1330,4,1,1.5,0,4,1901,0,615000
2230,3,2.25,1,0,3,1975,0,585188
1650,3,1.75,1,0,3,1977,0,305000
1190,3,1,1,0,3,1959,0,166950
2140,3,2.5,1,0,4,1959,0,799000
2180,3,2.5,1,0,4,1962,0,400000
1060,3,1,1,0,3,1948,0,230000
1690,3,2.5,2,0,3,2003,0,256883
1970,4,2,1.5,0,5,1920,0,423000
2150,3,2.5,2,0,3,2007,0,465000
1910,3,2.5,2,0,3,1997,0,440000
1350,3,1.75,1,0,4,1969,0,385000
860,3,1,1,0,4,1943,0,210000
1940,3,2.5,2,0,3,1994,0,297000
1010,3,1,1,0,3,1952,0,470000
1300,3,1.5,1,0,4,1976,0,226500
910,3,1,1,0,4,1962,0,274250
2480,4,1.75,1,0,4,1966,0,840000
2440,3,2.5,2,0,3,2010,0,677900
1010,3,1,1,0,3,1915,0,425000
900,2,0.75,1,0,3,1941,0,180250
2300,6,3,2,0,3,1920,1994,464000
1550,4,2.25,2,0,3,1993,0,320000
1270,3,2.25,2,0,3,2014,0,625504
2240,4,2.5,1,0,3,1983,0,592500
2714,3,2.5,2,0,3,2005,0,465000
1720,4,2.75,2,0,3,1978,0,477000
850,2,1,1,0,3,1923,0,280000
3300,5,3,1,0,3,1957,1991,1505000
2250,3,2.5,2,0,3,2000,0,445838
3900,2,2.25,1,0,3,1947,0,1072000
1320,2,1.5,1,0,4,1947,0,467000
2760,4,2.5,2,0,3,1999,0,686000
1750,3,2,1,0,3,1961,0,279950
2330,4,2.25,2,0,3,1987,0,527000
2220,3,2.25,1,0,4,1966,0,325000
2020,3,2.25,2,0,3,1994,0,328000
1250,3,2.25,1,0,5,1942,0,390000
1510,2,2,1,0,3,2005,0,479950
1720,4,2.25,1,0,4,1978,0,264950
1430,3,1,1,0,4,1961,0,235000
1480,3,2.5,2,0,3,2004,0,516500
1450,2,1.75,2,1,3,1915,1978,655000
2280,4,2.75,1,0,5,1960,0,500000
2940,6,2.75,1,0,3,1978,0,315000
1000,2,1,1,0,3,1961,0,213000
2480,3,1.5,1.5,0,5,1947,0,475000
3760,5,4,2,0,3,1983,0,1025000
2220,3,2,1,0,5,1976,0,416000
1970,4,1,1.5,0,3,1904,2005,410000
3830,3,3.5,2,0,3,1993,0,800000
4410,6,2.5,1,0,4,1965,0,472000
1430,3,1.75,1,0,4,1968,0,225000
830,2,1,1,0,3,1940,0,210000
1430,2,1,1.5,0,2,1925,0,455000
1300,3,1,1,0,4,1954,0,225000
1030,2,1,1,0,4,1918,0,480000
2740,3,2.5,2,0,3,1990,0,363000
3650,4,2.5,1,1,3,2000,0,2400000
720,2,1.5,1,0,3,1954,0,181000
2010,4,2,1,0,4,1976,0,250000
1560,3,1.75,1,0,4,1918,0,481000
1810,3,2,1,0,4,1978,0,260000
3360,4,2.5,2,0,3,2001,0,455000
1510,3,2.25,2,0,3,1991,0,415000
1400,3,1,1,0,3,1953,0,349500
1730,3,2.5,2,0,3,1987,0,245000
1420,2,2,1.5,0,5,1928,0,592500
2360,4,1.75,1,0,4,1955,0,385000
1580,3,1.75,1,0,4,1974,0,315000
1230,3,1,1,0,3,1979,0,255000
2460,4,2.5,2,0,3,2006,0,693000
1660,3,1,1.5,0,3,1911,0,780000
1270,3,1.75,1,0,4,1960,0,237000
2100,3,2.25,2,0,3,1979,0,525000
770,2,1,1,0,3,1930,0,425000
760,1,0.75,1,1,5,1936,0,369900
1700,4,2.5,2,0,4,1988,0,290000
1120,3,1,1,0,3,1954,0,285000
1070,2,1,1,0,3,1937,0,415000
2070,3,2.5,1,0,3,1979,0,272500
5050,4,3.25,1.5,0,3,1982,2008,2900000
5310,4,4.75,2,0,4,1989,0,1365000
1040,2,1,1,0,4,1939,0,436000
1700,3,1,1,0,4,1967,0,210000
1300,3,1,1,0,3,1961,0,236000
1080,3,1.75,1,0,3,1954,2003,331000
2653,3,2.5,2,0,3,2006,0,365000
2290,3,2,1,0,5,1960,0,450000
3820,4,2.75,2,0,3,2014,0,770000
2210,4,2.5,1,0,3,1997,0,455000
2390,3,1.75,1,0,3,1908,0,405000
2600,4,1.75,1,0,4,1969,0,304900
860,2,1,1,0,3,1931,0,170000
3830,5,3,2,0,5,1905,1994,2050000
3500,4,2.5,2,0,3,2005,0,780000
2420,3,3,1,0,4,1988,0,330000
2720,4,2.5,2,0,3,1992,0,370000
2500,5,2.25,1,0,3,1979,0,467000
1670,3,1.75,1,0,3,1980,0,405000
2900,5,2.25,1,0,3,1985,0,675000
1640,2,1,1,0,4,1954,0,500000
1890,4,2.5,2,0,4,1968,0,389999
2950,4,1.75,1,0,4,1975,0,630000
2160,4,2.5,2,0,3,1992,0,360000
3280,4,3,2,0,3,1986,0,580000
1970,3,2,2,0,5,1929,0,550000
3360,4,2.5,2,0,3,1994,0,879000
1320,3,2,1,0,3,1993,0,265000
2650,3,2.5,2,0,3,1990,0,446500
2030,3,1.5,1,0,3,1963,0,404000
1590,3,1.75,1,0,3,1957,0,267500
4550,4,5,1,1,3,2002,0,3075000
2440,3,2.5,2,0,3,1998,0,335000
1940,3,2.5,1,0,4,1948,0,576000
2040,3,2.5,2,0,3,2006,0,208633
2200,3,2.25,1,0,4,1964,0,315000
1920,3,1.75,1,0,4,1913,0,725000
1800,4,2.75,1,0,4,1965,0,550000
2180,4,2.25,2,0,3,1984,0,610750
1010,2,1,1.5,0,4,1908,0,550700
3320,4,2.75,2,0,5,1960,0,665000
2370,4,2.5,1.5,0,5,1928,0,834000
1660,5,1.75,1.5,0,3,1915,0,201000
3650,5,2.5,2,0,5,1921,0,2384000
4290,4,3.25,1,0,3,1997,0,1384000
4290,4,3.25,1,0,3,1997,0,1400000
1950,4,2.25,1,0,3,1979,0,305000
2590,3,2,1,0,5,1948,0,487000
1930,3,2.5,1,0,4,1988,0,390000
1470,2,1,1,0,4,1916,0,548000
800,4,1,1,0,3,1943,0,268750
3150,5,2.75,2,0,3,2013,0,819900
2030,3,2.25,2,0,3,1984,0,520000
1450,3,2,1,0,3,2003,0,230000
1510,3,1.75,1,0,3,1969,0,240000
1240,2,1,1,0,3,1922,1984,232000
1240,2,1,1,0,3,1922,1984,240500
3030,3,2.5,2,0,3,1987,0,274975
2050,4,2,1.5,0,4,1922,0,740000
1000,3,1,1,0,2,1952,0,186375
2370,3,2.25,1,0,4,1977,0,790000
2800,4,3.5,2,0,3,1951,2002,880000
2240,6,1.75,2,0,4,1955,0,279000
1810,3,2,1,0,3,1991,0,295000
1070,2,1,1,0,3,1924,0,640000
2490,4,2,2,0,5,1968,0,940000
1960,4,2.5,2,0,3,2003,0,260000
2930,3,2.75,1,0,3,2004,0,559900
1510,4,2,1.5,0,5,1911,0,791500
1420,3,1.75,1,0,3,1954,0,265000
1740,3,1.75,1,0,3,1954,0,245000
2560,4,1.75,2,0,4,1962,0,485000
3040,4,3.5,2,0,3,2010,0,684000
2500,3,1.75,1,0,3,1957,0,425000
1275,4,1.75,1,0,4,1991,0,309600
2580,4,2.5,2,0,3,2002,0,552250
1000,4,1,1,0,3,1943,0,165000
1000,4,1,1,0,3,1943,0,239900
1070,2,1,1,0,4,1930,0,320000
1390,3,2,1,0,4,1987,0,206600
2500,4,1.75,1,0,3,1973,0,387000
560,1,0.75,1,0,3,1967,0,299000
2270,4,2.75,2,0,3,1965,0,855000
1900,3,1,1,0,4,1954,0,315000
990,2,1,1,0,5,1907,0,437500
1550,4,1.5,1,0,4,1969,0,252000
2200,4,1.75,1,0,5,1955,0,375000
1910,4,2.5,2,0,3,2005,0,300000
1750,4,1,1.5,0,4,1954,0,420000
1330,3,1,1,0,3,1928,1954,900000
2440,3,2.5,2,0,3,2000,0,679900
1640,3,2.5,2,0,3,1992,0,463000
2760,5,2.5,2,0,4,1978,0,380000
1820,4,2.5,2,0,3,1994,0,329500
2110,3,2.5,1,0,3,2013,0,604950
3040,5,2.5,1,0,4,1966,0,795000
1840,3,2,2,0,3,1994,0,465000
2990,4,2.5,2,0,3,2002,0,673000
3520,4,2.5,2,0,3,1991,0,810000
2440,4,2.75,1,0,4,1989,0,785000
2090,4,3,1,0,3,1986,0,338000
1430,3,2.25,2,0,3,1993,0,280000
2180,4,2.25,1,0,5,1954,0,315000
2180,4,2.25,1,0,5,1954,0,530000
3450,5,3,2,0,3,2004,0,380000
1450,3,2.25,2,0,3,1994,0,297000
3230,4,2.5,2,0,3,2004,0,730000
1640,3,1.75,1,0,3,1940,0,450000
1590,3,3,1,0,3,1997,0,275000
2020,4,2,2,0,3,1960,0,595000
1300,3,1.5,1.5,0,3,1904,2014,435000
1380,2,1.5,1,0,1,1954,0,270000
4040,3,3,2,0,3,1986,0,950000
2130,4,2.25,2,0,3,2001,0,389000
2550,4,2.25,1,0,3,1968,0,560000
4800,5,3.5,2,0,3,1998,0,1350000
2510,4,2.25,2,0,4,1969,0,799000
1410,3,2,1,0,4,1983,0,365500
1650,3,2,1,0,3,1979,0,252350
2120,4,2.5,2,0,3,1993,0,403950
2040,4,1.5,1,0,3,1954,0,385000
1550,4,1,1.5,0,3,1957,0,345000
1980,3,2.75,2,0,4,1979,0,490000
1600,3,2.5,2,0,3,2005,0,330000
3300,4,2.75,2,0,3,1953,0,927000
3840,4,2.5,2,0,4,1983,0,1118000
1220,2,1,1,0,5,1950,0,330000
2720,5,2.25,1,0,4,1958,0,530000
1940,4,2,1,0,1,1962,0,365000
2160,3,2.5,1.5,0,3,1909,2011,378750
1530,4,1.75,1.5,0,4,1968,0,269900
1710,3,3.5,2,0,3,2008,0,557000
3730,4,1.75,1,0,4,1974,0,360000
940,2,1,1,0,4,1937,0,352000
1750,3,2.5,2,0,3,1994,0,437000
1820,4,2.5,2,0,3,1994,0,322500
1510,3,3.25,2,0,3,2001,0,650000
1290,3,2,3,0,3,2001,0,450000
1570,3,2,1,0,3,1998,0,278500
1930,4,2.5,2,0,3,1995,0,364950
2840,4,3.5,1,0,4,1986,0,840000
1550,3,2.5,2,0,3,1991,0,268000
833,2,1,1,0,3,2006,0,517534
2990,3,2.5,2,0,4,1978,0,632925
2000,3,2.5,2,0,3,1995,0,577500
2390,4,1.5,1.5,0,3,1920,0,339000
2910,3,1.75,1,0,4,1967,0,570000
2085,4,1.75,1,0,3,1964,0,563500
2200,4,2.25,1,0,5,1962,0,423000
1860,3,2.25,2,0,3,2012,0,355000
6070,5,4.25,2,0,3,1999,0,1550000
950,2,1,1,0,3,1941,0,482000
1600,3,1.75,1,0,5,1955,0,625000
2250,3,2.5,2,0,3,1988,0,538000
2280,3,2.5,2,0,4,1985,0,380000
940,2,1,1,0,3,1909,0,375000
1530,3,2.5,1,0,5,1996,0,245000
2190,5,1.75,1,0,4,1947,1974,310000
2350,3,2,1,0,4,1976,0,1300000
1440,4,2,1,0,3,1971,0,397000
2200,3,2.5,2,0,3,2005,0,365000
2290,4,3,2,0,3,1990,0,328500
4040,4,3,2,0,3,1987,0,988000
2610,4,2.5,1.5,0,5,1922,0,1000000
1490,3,2.5,2,0,3,2005,0,237000
2450,4,2.5,2,0,3,2003,0,525000
1710,4,2.5,1,0,3,1976,2014,749000
4870,5,2.5,2,0,3,1983,0,722500
3130,3,2.5,2,0,3,1991,0,843000
1270,2,2,3,0,3,2000,0,438000
2120,3,1.75,1,0,3,1977,0,578000
1670,3,1.5,1,0,5,1954,0,227950
2070,3,2.25,2,0,3,1974,0,196000
1420,2,1,1,0,3,1953,0,641000
1250,3,1.5,1,0,4,1980,0,350000
940,3,1,1,0,4,1960,0,205000
1920,3,1.75,1,0,3,1968,0,400000
3545,3,2.5,1,0,3,2005,0,1030000
1260,3,2,1,0,3,1972,0,505000
2340,5,2.5,1,0,3,1975,0,475000
2590,3,2.25,1,0,5,1977,0,520000
3970,3,4.5,2,0,3,1977,1999,1450000
1220,3,1.75,1,0,3,1965,0,333500
1400,3,1,1,0,4,1976,0,232000
2360,3,2.75,1,0,4,1983,0,691100
1870,3,1.75,1,0,4,1960,0,811000
2830,3,2.5,2,0,3,2001,0,551000
2260,3,2.5,2,0,3,1994,0,496500
1970,3,3,2,1,4,1980,0,705000
3140,4,2.5,1,0,5,1966,0,578000
1240,3,1.75,1,0,5,1986,0,255000
3450,4,3.5,2,0,3,2007,0,1050000
2570,3,2.25,2,0,4,1989,0,348000
1510,3,2,2,0,3,1985,0,230000
2390,4,2.25,2,0,3,1988,0,359500
980,3,1,1,0,3,1953,0,330000
430,1,0.75,1,0,2,1912,0,80000
1480,3,1.75,1,0,3,1954,0,465000
1850,4,2.5,2,0,3,1997,0,325000
2270,3,2,1,0,4,1947,0,340500
1810,3,2.5,2,0,3,1993,0,342500
1610,2,2,2,0,3,1930,1983,290900
3840,3,4.25,2,0,3,2000,0,868700
4110,4,2.75,2,0,3,1928,2013,1199000
4190,4,3.25,2,0,3,2000,0,1150000
3390,4,2.75,2,0,3,2011,0,859900
1890,4,2.25,2,0,3,2003,0,520000
1610,3,2.5,2,0,3,2005,0,460000
1050,3,1.5,1,0,3,1949,0,438924
630,2,1,1,0,3,1918,0,315000
2910,4,2.75,1,0,3,1975,0,590000
1700,4,1.75,1,0,3,1955,0,378500
1950,3,2.5,2,0,4,1990,0,328500
2990,3,3,2,0,4,1973,0,849950
1350,3,1.5,1,0,3,1950,0,525000
4860,4,3.25,2.5,0,3,1993,0,1385000
2160,4,2.5,1,0,4,1978,0,295000
4860,6,3.5,2,0,3,1998,0,1067000
890,2,2,1,0,3,1917,0,207950
2810,4,2.75,2,0,3,2002,0,699900
3400,5,2.5,2,0,4,1977,0,1280000
1580,4,1.5,1,0,4,1963,0,452000
1680,3,2,1,0,4,1987,0,370000
1300,3,1.75,1,0,5,1968,0,232000
2820,5,2.5,2,0,4,1960,0,669950
1510,3,2,1,0,3,1972,0,397500
1230,2,2.5,2,0,3,2004,0,490000
2110,4,2,2,0,3,1925,2003,725000
3080,3,2.75,1,0,4,1958,0,299000
1490,2,1.5,1.5,0,4,1900,0,625000
2120,3,2.5,2,0,3,2000,0,437500
3180,4,2.5,2,0,3,2003,0,650000
1490,2,1,1,0,3,1929,0,475000
1930,3,2,1,0,4,1966,0,342000
2770,4,2.5,2,0,3,1999,0,1197350
1670,3,1.5,1,0,4,1963,0,280000
1330,2,1.75,1,0,3,1993,0,240000
1210,3,1,1.5,0,4,1924,0,529000
1190,3,1,1,0,4,1941,0,442000
1540,2,1,1,0,4,1946,0,615000
4030,4,3.75,2,0,3,2006,0,1485000
2430,4,1.75,1,0,4,1981,0,585000
2600,4,2.5,2,0,3,2005,0,480000
4410,5,3.5,2,0,4,1990,0,1095000
1330,4,1,1.5,0,3,1949,0,290000
1900,3,1.75,1,0,5,1951,0,615000
1100,2,1,1,0,4,1950,0,300000
1980,3,1,1.5,0,3,1932,0,308000
2400,3,2.5,2,0,3,2001,0,750000
4760,4,2.25,2.5,0,5,1916,0,2250000
3180,4,3.25,2,0,3,2005,0,890000
1190,3,1,1,0,5,1958,0,288000
630,2,1,1,0,3,1943,2005,190000
2530,5,3,1,0,3,2005,0,515000
1690,4,1.5,1,0,4,1930,0,235000
940,2,1,1,0,3,1951,0,275000
1240,2,2,1,0,4,1952,0,727500
3040,4,2.5,2,0,3,2003,0,650000
6050,6,5,2,0,3,2001,0,1600000
1590,4,1,1.5,0,3,1944,0,365000
2500,3,1.75,1,0,3,1984,0,662000
1780,3,2.5,1,0,3,1978,0,270500
1360,2,1.5,2,0,3,1978,0,200000
4740,4,3.25,2,0,3,1987,0,970000
1010,3,1.5,1,0,4,1962,0,160000
1040,3,1,1,0,4,1971,0,204000
1610,3,2.25,2,0,4,1985,0,358000
1570,4,1.75,1,0,3,1979,0,452000
1510,2,2,1,0,4,1900,0,595000
1360,3,2,1,0,3,1994,0,249000
1970,4,2.5,2,0,3,1999,0,346900
5403,3,2.5,2,1,4,1976,0,2125000
1560,4,2.5,2,0,3,2003,0,280000
2320,4,1.75,1,0,4,1973,0,318888
2120,3,2.25,1,0,3,1967,0,530000
2120,3,2.25,2,0,4,1983,0,375000
3350,4,2.5,2,0,3,1988,0,910000
2380,4,2.5,2,0,4,1991,0,782000
1070,2,2,2,0,3,2008,0,259950
2300,4,2.75,1,0,4,1979,0,315000
1320,2,1,1,0,4,1943,0,215000
2180,3,1.75,1,0,4,1946,0,705000
4380,3,3,2,0,5,1952,0,1450000
1790,3,1.75,2,0,3,1949,0,451000
750,2,1,1,0,4,1943,0,261000
1300,3,1.5,1,0,5,1956,0,396000
2990,4,2.5,2,0,3,1999,0,725000
4640,7,3.5,2,0,3,1965,2003,1950000
1400,4,1,1.5,0,3,1959,0,238000
2750,6,1.75,2,0,4,1973,0,750000
2050,4,2.5,2,0,3,1998,0,331500
2230,4,3,1,0,3,1978,0,460000
2340,4,2.25,1,0,4,1982,0,404950
2870,3,2.5,2,0,3,2014,0,880000
4120,4,2.5,2,0,3,1997,0,863000
2080,3,1.75,1,0,3,1960,0,638700
1840,3,2.5,2,0,3,2008,0,435000
1180,3,1,1.5,0,4,1959,0,260000
2160,5,2.75,1.5,0,5,1927,0,671500
1180,3,1,1.5,0,3,1907,0,610000
1160,2,0.75,1,0,4,1937,0,405000
1830,4,2.5,2,0,3,2003,0,338900
3200,4,4,2,0,3,2004,0,720000
2560,5,3,1.5,0,4,1927,0,442000
2550,5,2.75,1.5,0,5,1902,0,650000
1330,3,1.75,1,0,3,1981,0,263500
1220,2,1,1,0,4,1963,0,300000
1805,3,2.5,2,0,3,2009,0,266000
6050,4,4,2.5,0,3,2009,0,930000
2320,4,2.5,2,0,3,2004,0,530000
1384,3,1,1,0,4,1965,0,180000
2720,3,2.5,2,0,3,2005,0,619000
1820,3,1.5,1,0,4,1962,0,264000
2130,2,2.25,1.5,0,4,1941,0,730000
2060,4,2.25,2,0,3,1975,0,439000
1420,4,1.75,1,0,4,1981,0,268500
1510,3,1.75,1,0,3,1985,0,330000
2160,3,2.5,1.5,0,3,1903,2013,640000
3180,3,2.5,2,0,4,1978,0,900000
2110,3,2.25,2,0,4,1985,0,370000
2060,3,2,1.5,0,5,1931,0,685000
1830,3,1.5,1,0,3,1981,0,505000
1820,3,1.75,1,0,4,1966,0,265000
1610,3,2.5,2,0,3,2006,0,290000
1780,4,2.5,2,0,3,2006,0,296000
1840,4,2.5,2,0,3,1996,0,360000
1460,3,1.75,1,0,3,1997,0,240500
1400,2,2.5,2,0,3,2007,0,372500
3370,3,2.5,2,0,3,2004,0,595000
3590,4,3,2,0,3,1997,0,515000
3200,4,2.25,2,0,4,1962,0,1220000
1670,2,1.75,1,0,3,2004,0,507000
2420,4,2,1,0,3,1984,0,399950
1430,3,1.75,2,0,3,1994,0,185000
1440,3,1.75,1,0,3,1980,0,460000
1450,3,2.25,2,0,3,1985,0,435500
3550,4,2.75,1,0,5,1966,0,469000
1270,2,3,2,0,3,2000,0,531000
940,2,1,1,0,3,1949,0,443500
1670,3,2,1,0,3,1990,0,223000
3100,4,3.5,2,0,3,1996,0,590000
1100,2,2.5,3,0,3,1997,0,340000
1870,3,2,1,0,4,1925,0,650000
1930,3,2.5,2,0,4,1990,0,533600
2540,3,2.75,2,0,3,2005,0,695000
1280,3,1.75,1.5,0,4,1988,0,242000
